Year,Flow 
1995,16.205
1996,12.07
1997,9.47
1998,15.05
1999,18.7
2000,6.865
2001,6.765
2002,11.715
2003,7.325
2004,16.35
2005,16.2
2006,7.755
2007,9.5
2008,13.075
2009,14
2010,11.16
2011,12.765
2012,15.075
2013,17.65
2014,14.28
