Year,Flow
1983,79.65
1984,37
1985,37
1986,64.9
1987,71.95
1988,24.75
1989,122.5
1990,47.5
1991,69.1
1992,17.65
1993,38.75
1994,50.75
1995,51.5
1996,59.85
1997,117.1
1998,31.7
1999,63
2000,77.05
2001,107.85
2002,37.7
2003,32.95
2004,50.15
2005,42.5
2006,20.2
2007,47.25
2008,27.2
2009,95.65
2010,24.95
2011,98.5
2012,67.15
